問題,標準答案,LLM答案,LLM答案路徑
針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,內容為：至少製作三份備份、分別存放於兩種不同儲存媒體、且至少一份異地保存。,"""3-2-1 備份原則""具體內容為：
1. 制定至少三個不同位置的資料備份（三份）；
2. 將這些備份分別存放在兩個獨立的不同儲存設備上；
3. 至少一份備份應保存在與存放原始資料的異地。","中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第五條 > 一、 | p.2-2 | all_node | node=一、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第五條 > 一、 | p.2-2 | all_node | node=一、 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_21,row=1,col=3,chunk=2"
證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,異地備援機房之地點與場所，宜以與主機房不受同一災難或失效影響的地理位置為原則；另規劃時也要考量電力、空調、環境監控與告警等支援設施。,"證券商在規劃備援機房時，對於地點與場所的選擇建議原則包括：

1. 地點宜選與主機房非同一災難或失效影響的地理位置。  
2. 這意味著選擇一個相對安全且不易受災害影響的地方來設置異地備援機房。

上述資訊來自兩則證券業相關自律規範，並未特別提及場所的要求，僅強調選擇的地點特性。因此無法提供關於場所的具體建議。","中華民國證券商業同業公會資訊作業韌性自律規範.md | 第六條 > 三、 | p.2-3 | all_node | node=三、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第六條 > 三、 | p.2-2 | all_node | node=三、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_23,row=17,col=4,chunk=1"
證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,應就資訊作業韌性之任務編組人員，依所屬資安分級定期辦理資訊作業演練並留存紀錄。其目標在於提升任務編組人員對資訊作業韌性的認知與應變能力，確保發生中斷時能有效執行應變與復原。,"證券商應依據證券交易所的要求，定期辦理資訊作業演練並留存紀錄。此外，證券商還需記錄人員的訓練結果，并每年檢視其訓練內容的適切性，以培養具備執行資訊作業韌性的能力。

這兩點目標均來自參考資料。第一個目標在《中華民國證券商業同業公會資訊作業韌性自律規範.md》（參考資料1），位於第八條。第二個目標則出現在《金融機構資訊作業韌性規範_20240521.md》（參考資料2）的第八條，第二項。",中華民國證券商業同業公會資訊作業韌性自律規範.md | 第八條 | p.3-3 | all_node | node=第八條 || 金融機構資訊作業韌性規範_20240521.md | 第八條 > 二、 | p.4-4 | all_node | node=二、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第四條 | p.2-2 | all_node | node=第四條
證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,應告知客戶該互動或服務是由 AI 自動完成，或揭露其適用人群、場景或用途；並宜讓客戶自行選擇是否使用，同時提醒是否有替代方案。,證券商在運用 AI 技術與客戶直接互動時，應告知客戶該互動或服務是利用人工智慧技術自動完成。此外，證券商還需揭露該互動或金融服務適用的人群、場景或用途。另外，證券商應由客戶自行選擇是否使用這些服務，并提醒客戶是否有替代方案。,中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第十一條 | p.3-3 | all_node | node=第十一條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | all_node | node=第六條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第八條 | p.2-2 | all_node | node=第八條
針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,應以風險為導向建立風險管理與定期檢視機制，並評估資料品質、模型品質、系統安全性、公平性、永續發展、透明性與可解釋性；若使用生成式 AI，對其產出資訊仍須由證券商自行評估與管控。,"證券商在模型訓練階段應注意以下事項：

1. 注意模型或演算法的安全性與穩定性；
2. 進行資料品質處理；
3. 設定模型驗證與監控機制。",中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第七條 | p.2-2 | all_node | node=第七條 || 附件一_金融機構運用人工智慧技術作業規範1141012.md | 第七條 | p.3-3 | all_node | node=第七條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | all_node | node=第六條
根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,應要求物聯網設備在使用前變更初始密碼；且密碼長度不得少於六位，建議採英數混合，並宜包含大小寫英文字母或符號。,"根據提供的參考資料，金融機構（包括期貨商、證券公司及保險業）管理物聯網設備的初始密碼時，應遵循以下規範：

1. 建立物聯網設備管理清冊並至少每年更新一次；
2. 变更前開設備之初始密碼。

此外，為了確保使用者的身份驗證並進行資料存取等操作，還需要設置有效的身分驗證機制及初始密碼變更，密碼長度應不小于八位，建議使用英數字混合形式且包含大小寫英文字母或符號。用戶應被賦予最小權限原則以保護數據安全。",建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (4) > a. | p.10-10 | all_node | node=a. || 建立證券商資通安全檢查機制.md | 12、 > （4） > a. | p.16-16 | all_node | node=a. || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 五、 | p.21-21 | all_node | node=五、
對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,應採用具有加密協定之無線存取點連線，並以網路卡卡號白名單等機制進行設備綁定。,"根據提供的參考資料，規範要求以無線方式連接網路的物聯網設備應該採取以下綁定或加密機制：

- 使用具加密協定的無線存取點（WAP）連接到網路。
- 通過網路卡卡號白名單等機制進行設備綁定。","金融機構使用物聯網設備安全控管規範_1100430.md | 第六條 | p.1-1 | all_node | node=第六條 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 六、 | p.21-21 | all_node | node=六、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_13,row=6,col=4,chunk=1"
金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,應產出：核心業務之 MTPD、RTO、最小可接受服務水準、RPO；各核心資通系統之 RTO 與 RPO；核心業務之復原優先順序；滿足最小可接受服務水準所需資源及其解決方案。,"金融機構在執行「營運衝击分析(BIA)」後，應產出的關鍵分析結果包括：

1. 權重排序的業務流程（Priority Ordering of Business Processes）
2. 主要及次要業務影響事項（Critical and Secondary Business Impact Items）
3. 重要業務目標的達成情況（Status of Achievement of Critical Business Objectives）

這些分析結果用於評估金融機構在核心業務中斷時可能遭受的衝擊，並幫助制定應對策略以減少潛在損失。",金融機構資訊作業韌性規範_20240521.md | 第二條 > 五、 | p.1-1 | all_node | node=五、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第二條 > 四、 | p.1-1 | all_node | node=四、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第二條 > 四、 | p.1-1 | all_node | node=四、
針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,應每年審查供應商營運持續計畫，評估其在天然災害、人為災害、資安事件、設備故障/變更、計畫性更換、產品生命週期結束等情境下，是否仍能滿足金融機構所訂 RTO/RPO。若能滿足，應保存審查紀錄；若不能滿足，應執行供應商營運中斷風險評估，並依結果採取風險處理措施或接受風險並取得核准。,"根據提供的參考資料，金融機構對核心資通系統供應商的營運持續計畫進行審查與風險評估的方法如下：

1. **每年審查**: 金融機構應每年對核心資通系統供應商提交的核心資通系統相關營運持續計畫內容進行檢查。

2. **確認RTO和RPO**：
   - 若發現供應商的營運持續計畫無法滿足金融機構設定的系統復原時間目標（RTO）和資料回復時點目標（RPO），表示其能力不足。
   - 在這種情況下，需要進一步評估核心資通系統供應商因特定原因導致的營運中斷風險。

3. **風險評估與對策**：
   - 若評估結果顯示供應商的營運持續計畫無法滿足需求，則需執行對應風險處理措施。
   - 如果供應商的計畫已經能符合要求，但金融機構仍不滿意，可以選擇接受風險並取得營運持續管理權責單位的核准。

總之，審查與風險評估的核心在於確保核心資通系統供應商的能力能夠滿足金融機構對RTO和RPO的需求，若不足則需進行補救措施。",金融機構資訊作業韌性規範_20240521.md | 第十條 | p.5-5 | all_node | node=第十條 || 金融機構資訊作業韌性規範_20240521.md | 第十條 > 三、 | p.5-5 | all_node | node=三、 || 金融機構資訊作業韌性規範_20240521.md | 第十條 > 一、 | p.5-5 | all_node | node=一、
在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,人員離調職時，應儘速移除權限。,"在「營運環境管理」方面，對於人員離調職時的權限處理規定如下：

保險業和金融機構都需建立人員註冊、異動及撤銷註冊的程序來配置適當的存取權限。當人員離調職時，應盡速移除其原有的權限。",保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 一、 | p.2-2 | all_node | node=一、 || 金融機構資通安全防護基準.md | 第四條 > 一、 | p.1-1 | all_node | node=一、 || 建立證券商資通安全檢查機制.md | 8、 > （2） > b. | p.8-8 | all_node | node=b.
針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,應加強連續假期資安防護，至少包括：評估系統與電腦於連假期間是否有開機必要，無必要則關閉連線服務或電源；並評估連假後第一個營業日是否需提前到班，以確保核心資通系統及第一類電腦系統正常運作。,"根據提供的參考資料，針對「連續假期」的資安防護，基準要求金融機構應評估並執行以下事項：

1. 應評估於連續假期結束後的第一個營業日是否提前到班。
2. 應確保帳號、密碼之安全性。

以上為基準規定的要求，主要聚焦在連假結束后的值班安排及保障資訊系統的登入安全性。","金融機構資通安全防護基準.md | 第八條 > 七、 | p.4-4 | all_node | node=七、 || 金融機構資通安全防護基準.md | 第八條 > 七、 > (二) | p.4-4 | all_node | node=(二) || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_13,row=10,col=4,chunk=1"
銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派有何安全設計要求？,銀行應取得法人客戶書面同意指派簽署人；簽署人也可由法人客戶所指派之兩位以上授權人員以電子簽名向銀行指派，但不得出現任一授權人員與簽署人為同一人的情形。,"銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派要求為：

1. 當法人客戶申請電子簽名時，銀行需要先進行身分驗證。

2. 銀行應取得法人客戶書面同意指派特定人員作為電子文件的簽署人。

3. 簽署人可以是法人客戶自行指派的人選，也可以由法人客戶指派的兩位以上的授權人員（通過電子簽名方式）共同指定。

4. 指派時，不得允許任何一名授權人員與被指派的簽署人為同一人。

根據上述規定，銀行會考慮使用多層次的安全措施來確保簽署人的真實性及合法性。",附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 二、 | p.2-2 | all_node | node=二、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 | p.2-2 | all_node | node=第三條 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第七條 > 一、 | p.4-4 | all_node | node=一、
根據規範，電子簽名私鑰儲存於「客戶端」與儲存於「銀行端」在應用範圍上有何差異？,若簽名私鑰儲存於客戶端或銀行端（含第三方平台），可辦理申請指示類業務；若簽名私鑰係在客戶端產生並儲存於客戶端，則可辦理申請指示類及交易指示類業務。,"根據提供的規範，電子簽名私鑰儲存在「客戶端」與儲存於「銀行端」（含第三方平臺）在應用範圍上有以下差異：

1. **儲存於客戶端**：
   - 得辦理申請指示類業務。
   - 得辦理申 請指示類及交易指示類業務。

2. **儲存在銀行端（含第三方平臺）**：
   - 只能办理申请指示类业务。

因此，儲存在客戶端的電子簽名私鑰具有較廣泛的應用範圍，可以進行更多種類的業務操作。而儲存於銀行端的僅限于申請指示類業務。",附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第五條 > 一、 | p.4-4 | all_node | node=一、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第五條 > 二、 | p.4-4 | all_node | node=二、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第七條 > 三、 | p.4-4 | all_node | node=三、
行動應用程式（App）在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時，應採取哪些限制措施？,依上傳規範，App 應在偵測到裝置疑似遭破解時，主動通知使用者或關閉應用程式；另在證券/期貨新興科技規範中，也要求至少提示使用者注意風險。,"根據提供的參考資料，行動應用程式在偵測到行動裝置疑似遭破解（例如 Root、Jailbreak 或 USB Debugging）時，應採取的措施是：

1. 提示使用者注意風險。

具體來說，這可以通過啟動行動應用程式時，如偵測到行動裝置可能已經被破解的情況下，該應用程式會立即對使用者進行警告，提醒他們注意由此帶來的安全風險。","「新興科技資通安全自律規範」完整條文-114.05.md | 第六條 > 三、 > （二） > 2. | p.4-4 | all_node | node=2. || 「新興科技資通安全自律規範」完整條文-114.05.md | 12 | p.6-13 | table_chunk | table_id=「新興科技資通安全自律規範」完整條文-114.05_table_6,row=9,col=4,chunk=1 || 1110921新興科技資通安全自律規範及修正對照表.md | 第六條 > 三、 > (二) > 2. | p.3-3 | all_node | node=2."
針對 App 的「金鑰保護」，規範要求應採用哪些技術（如硬體安全元件或軟體保護技術）？,"規範要求應增強 App 軟硬體防護機制以保護機敏資訊，包括：使用設備保護金鑰、保護記憶體參數與儲存檔案、防止設備被複製；並可採用如安全元件（Secure Element, SE）、**可信賴執行環境（TEE）**等安全技術。","根據提供的參考資料，針對App的「金鑰保護」，規範要求應採用的技術包括：

1. 软件式鍵匙管理器（Software Key Management System, SKMS）。
2. 搭配第三方認證的硬體安全模組（Hardware Security Module, HSM），例如FIPS 140-2 Level 3以上的模組。

這些技術可以確保金鑰的安全儲存，並限制明文匯出的功能。",附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 一、 > (一) | p.3-3 | all_node | node=(一) || 保險業辦理資訊安全防護自律規範-5.md | 三、 > (十) > 2. | p.1-1 | all_node | node=2. || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 三、 > (十) > 2. | p.22-22 | all_node | node=2.
根據基準，電子銀行業務的交易指示如何區分為「高風險交易」與「低風險交易」？,依已上傳基準可直接支持的內容，電子銀行業務之交易指示係依風險等級區分為高風險與低風險交易，且首次申辦高風險交易之業務須經主管機關核准後實施；低風險交易則得在符合規定安全設計下辦理，部分情況可委由第三方驗證。,"根據基準，電子銀行業務的交易指示區分為「高風險交易」與「低風險交易」的方式如下：

1. **高風險交易**：該訊息執行結果對客戶權益有重大影響的各類電子轉帳及交易指示。例如，非約定轉帳交易若超出辦理低風險交易的最大限額。

2. **低風險交易**：對客戶權益無重大影響的各類電子轉帳及交易指示，包括但不限於上述未被列為高風險的情況。",金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 | p.7-7 | all_node | node=第七條 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > １、 | p.9-9 | all_node | node=１、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 | p.9-9 | all_node | node=２、
針對「非約定轉帳交易」，基準對於透過網際網路辦理的低風險交易限額（每筆、每日、每月）有何規定？,透過網際網路辦理之低風險非約定轉帳交易，以每一帳戶每筆不超過等值新臺幣 5 萬元、每天累積不超過等值新臺幣 10 萬元、每月累積不超過等值新臺幣 20 萬元為限。,針對「非約定轉帳交易」，透過網際網路辦理的低風險交易限額為：每筆不超過等值新臺幣五萬元，每日累積不超過等值新臺幣十萬元，每月累積不超過等值新臺幣二十萬元。,金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > １、 | p.13-13 | all_node | node=１、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > ３、 | p.13-13 | all_node | node=３、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 三、 > (二) > ２、 > （５） | p.15-16 | all_node | node=（５）
根據第二條，適用本規範的「資訊服務」具體包含哪三種服務形態？,包含 系統發展類、維運管理類及雲端服務類。,"根據提供的參考資料，第二條所述適用本規範的「資訊服務」具體包含以下三種服務形態：

1. 系統發展類
2. 償運管理類
3. 雲端服務類",附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第二條 | p.1-1 | all_node | node=第二條 || 附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第五條 > 一、 > (二) | p.2-2 | all_node | node=(二) || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第三條 | p.2-2 | all_node | node=第三條
第四條規定，若委託開發項目涉及核心資通系統，其專案成員應有哪類專業人員參與以協助管理風險？,應有 資訊安全人員 參與。,根據提供的參考資料，第四條規定指出，若委託開發項目涉及核心資通系統，其專案成員應有資安人員參與以協助管理風險。资料均未具体提及“法規”的名称或编号，但明确提到了在核心资通系统项目中应有资安人员参与的必要性。,"保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 三、 > (二) | p.24-24 | all_node | node=(二) || 保險業辦理資訊安全防護自律規範-6.md | 三、 > (二) | p.1-1 | all_node | node=(二) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_1,row=6,col=4,chunk=1"
規範中對於「平台即服務 (PaaS)」的定義為何？承租人對作業系統擁有何種程度的掌控權？,PaaS 是雲端服務業者提供作業系統使用，承租人可在該作業系統上操作自己的軟體；承租人可掌控運作軟體的環境，並擁有作業系統部分掌控權，但並不掌控作業系統本身與硬體。,平台即服務（PaaS）是指雲端服務業者提供作業系統使用的情況下，承租人可以在該作業系統上操作自己的軟件。承租人能掌控運作軟體的環境，擁有作業系統的部分掌控權，但並未掌握作業系統和硬體。,附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 一、 > (二) | p.1-1 | all_node | node=(二) || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 一、 > (三) | p.18-18 | all_node | node=(三) || 保險業辦理資訊安全防護自律規範-3.md | 貳、 > 一、 > (三) | p.1-1 | all_node | node=(三)
金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規有何要求？,要求 境外當地資料保護法規不得低於我國要求。,對於金融機構委託境外的雲端服務業者處理客戶資料的情況，當地資料保護法規至少需符合我國的要求，并且涉及重大性期貨客戶業務資訊系統時，客戶資料應在我國內留存備份。此外，金融機構也有權確保雲端服務業者不得存取客戶資料，並限制其利用範圍在指定範圍內。,"附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 | p.3-3 | all_node | node=十一、 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_23,row=1,col=3,chunk=1 || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十、 | p.3-3 | all_node | node=十、"
根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備什麼樣的保護與授權機制？,新採購的 ATM，其吐鈔模組與 ATM 控制主機間的通訊指令，應受保護並具有授權機制，以防止植入未經授權程式、竄改指令或竄改韌體。,根據提供的參考資料，第五條規定的新採購ATM的吐鈔模組與控制主機之間的通訊指令應該受到保護並具備授權機制，用以防止植入未經授權的程式、竄改指令或修改韌體。,"附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第五條 > 六、 | p.2-2 | all_node | node=六、 || 金融機構資訊系統安全基準.md | 3.8.15.46.3.8 | p.494-495 | table_chunk | table_id=金融機構資訊系統安全基準_table_998,row=2,col=1,chunk=1 || 金融機構資訊系統安全基準.md | 3.8.15.46.6.5 | p.495-496 | table_chunk | table_id=金融機構資訊系統安全基準_table_1002,row=2,col=1,chunk=1"
採用 IP 連線之 ATM，若作業系統原廠已不再提供安全更新，金融機構在汰換期間應採取哪些補強措施？,應先提出汰換計畫並提報董（理）事會或其授權經理部門核定；在未完成汰換期間，應採取補強措施，例如：採用具 Virtual Patching 功能之 WAF 或 IPS，或採網段隔離機制並限制同網段主機間連線及資源存取，且應儘速完成補強措施或汰換，以防範已知資安漏洞。,"若採用 IP 連線之 ATM 原廠作業系統不再提供安全更新，金融機構應採取的補強措施包括：

1. 使用具有 Virtual Patching 功能的 Web Application Firewall (WAF) 或入侵保護系統 (IPS)，以補足缺乏的安全更新。

2. 設定網段隔離機制，並限制同網段主機之間的連線及資源存取權限。

這些措施需在未完成替代作業系統前實施，以防止已知安全漏洞被利用。",附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第八條 | p.3-3 | all_node | node=第八條 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第十條 > 一、 | p.3-3 | all_node | node=一、 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第六條 > 三、 | p.2-2 | all_node | node=三、
根據第六條，在處理 AI 不公正或偏見問題時，應評估哪些個人生理特徵參數是否納入演算法判斷？,應評估是否納入演算法判斷的資料參數包括：姓名、國籍、族群、出生地或居住所、年齡，以及所有生理特徵；生理特徵包含但不限於身高、體重、性別、膚色、髮量、肢體障礙等，另也包括所有非涉及心神喪失致無法自主理解該金融商品判斷能力之疾病。,"根據提供的資料，處理AI不公正或偏見問題時，在演算法判斷中應評估的個人生理特徵參數包括但不限于：

- 身高
- 體重
- 性別
- 館色
- 縮量
- 肢體障礙

此外，還應考慮納入的非生理特徵參數有：
- 姓名
- 年齡
- 心智喪失相關疾病",附件一_金融機構運用人工智慧技術作業規範1141012.md | 第六條 | p.2-3 | all_node | node=第六條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | all_node | node=第六條 || 建立期貨商資通安全檢查機制_所有條文.md | 第6條 | p.2-2 | all_node | node=第6條
金融機構運用 AI 技術與消費者互動時，應如何告知消費者該服務的性質，並提供何種選擇權？,應告知該互動或服務是利用 AI 技術自動完成，或揭露其適用的人群、場合、用途；並宜由消費者自行選擇是否使用，且提醒是否有替代方案。,金融機構和證券券商在運用AI技術與消費者互動時，應告知這種互動或服務是利用人工智能技術自動完成的。此外，應該公開該互動或自動化金融服务適用的人群、場合、用途。並且，建議消費者自行選擇是否使用這些服務，并提醒他們有無替代方案。如果相關法律法規有特別規定則需遵照執行。,附件一_金融機構運用人工智慧技術作業規範1141012.md | 第十一條 | p.4-4 | all_node | node=第十一條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第十一條 | p.3-3 | all_node | node=第十一條 || 建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (7) > b. | p.11-11 | all_node | node=b.
根據第二條，保險業經營的「行動服務」具體包含哪四項業務？,包含 行動投保服務、行動保全服務、行動理賠服務及行動房貸服務。,"根據第二條，保險業經營的「行動服務」包含以下四項業務：

1. 行動投保服務
2. 行動保全服務
3. 行動理賠服務
4. 行動房貸服務",保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第 2條 | p.1-1 | all_node | node=第 2條 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 二、 | p.2-2 | all_node | node=二、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第六條 | p.2-2 | all_node | node=第六條
業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務有何限制？,自停止招攬處分期滿或撤銷登錄後重新登錄之日起六個月內，得暫停其辦理行動投保及涉及契約權利義務變動之行動保全等服務之權限。,"根據提供的參考資料，業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務的限制包括：

1. 暫停其辦理所有涉及契約權利義務變動的行動保全等服務之權限。
2. 特定的行動保全服務項目包括：要保人住所或收費地址之變更。

這些限制適用於各會員對所屬業務員因不當招攬行為受停止招攬六個月(含)以上處分的情況。","保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 二、 | p.2-2 | all_node | node=二、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 六、 | p.2-2 | all_node | node=六、 || 4.FCM內控CW---參 、薪工循環---114.04.md |  | p.None-None | table_chunk | table_id=4.FCM內控CW---參 、薪工循環---114.04_table_5,row=1,col=3,chunk=2"
根據第九條，消費者取得帳號密碼後，若超過多久時間未再辦理網路投保或保險服務，則該帳號需重新驗證？,若自申請完成後 五年內 都未再與該保險業辦理網路投保或網路保險服務，則必須重新完成身分驗證後，才能再使用該帳號密碼。,根據第九條規定，若消費者在取得帳號密碼後超過五年時間未再辦理網路投保或保險服務（不以透過網路進行為限），則該帳號需重新驗證。,保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第九條 | p.4-4 | all_node | node=第九條 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 三、 > (九) | p.22-22 | all_node | node=(九) || 保險業辦理資訊安全防護自律規範-5.md | 三、 > (九) | p.1-1 | all_node | node=(九)
第十九條規定，對於未經消費者授權之交易所產生的爭議，保險業與消費者的責任歸屬原則為何？,原則上，除非消費者有故意或重大過失，否則未經授權之交易由消費者不負責任；保險業並應協調合作金融機構協助處理爭議。,未經消費者授權之交易所產生的爭議中，根據資料的指示，責任歸屬原則為：除消費者有故意或重大過失者外，消費者不須負擔責任。,"保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第十九條 > 四、 | p.8-9 | all_node | node=四、 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_39,row=1,col=3,chunk=3 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 六 章 > 第 19 條 | p.7-7 | all_node | node=第 19 條"
根據第四條，員工職務異動或離職時，應依據何種程序處理其資訊資產與存取權限？,應依公司既定程序辦理資訊資產退回，並辦理存取權限之變更或取消。,根據參考資料1和參考資料2的信息，并未提及關於員工職務異動或離職時處理其資訊資產與存取權限的具体程序。因此，無法直接回答問題。参考资料中提到的是對資訊資產的保存期限進行規範及到期後的刪除與銷毀工作，而非相關聯的職務異動或離職時的信息資產退回和存取權限變更或取消程序。,保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 五、 | p.1-1 | all_node | node=五、 || 建立期貨商資通安全檢查機制_所有條文.md | 第4條 > 4、 > (4) | p.2-2 | all_node | node=(4) || 建立證券商資通安全檢查機制.md | 4、 > （4） | p.2-2 | all_node | node=（4）
對於第一類及第二類電腦系統的權限配發，應遵循哪兩項核心原則（Least Privilege 與 Need-to-know）？,目前在已上傳保險業規範中，可明確找到的是最小權限原則；但「Need-to-know（知悉必要）」在目前可檢索內容中未找到明文。因此可確認的答案是：應遵循最小權限原則；至於「知悉必要原則」目前無法以現有檔案直接證實。,"根據提供的參考資料，對於第一類及第二類電腦系統的權限配發，應遵循以下兩項核心原則：

1. **最小權限(Least Privilege)**
2. **僅知原則(Need-to-know)**

這兩個原則均在多處提及，適用於金融機構和保險業等行業中的資通安全防護基準。","金融機構資通安全防護基準.md | 第四條 > 十二、 | p.2-2 | all_node | node=十二、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 十二、 | p.2-3 | all_node | node=十二、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_9,row=21,col=4,chunk=1"
