問題,標準答案,LLM答案,LLM答案路徑
規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,RTO 是指中斷事故發生後，核心系統從中斷到回復至最小可接受服務水準的目標時間；RPO 是指中斷事故發生時，核心系統可承受的資料損失量所對應、可被回復的最近時間點。,"復原時間目標（Recovery Time Objective, RTO）是指在中斷事故後，系統或業務恢復到最小可接受服務水平所需的最大時長。根據提供的資料：

1. 在金融機構資訊作業韌性規範_20240521.md 中提到的「核心資通系統」和「核心業務」的RTO，是指從中斷事故發生後恢復到最小可接受服務水準所需的最大時間。

2. 資料3提供的中華民國證券商業同業公會資訊作業韌性自律規範中提到的「核心系統」的RTO，與之類似，但未提及是對「資通系統」還是「業務」而言。

因此，根據這些資料可以總結，RTO 是指在中斷後恢復至最小可接受服務水平所需的最大時間。",金融機構資訊作業韌性規範_20240521.md | 第二條 > 七、 > (二) | p.1-1 | leaf | context=第二條 > 七、 > (二) || 金融機構資訊作業韌性規範_20240521.md | 第二條 > 七、 > (一) | p.1-1 | leaf | context=第二條 > 七、 > (一) || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、
針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,內容為：至少製作三份備份、分別存放於兩種不同儲存媒體、且至少一份異地保存。,"""3-2-1 備份原則""具體內容為：

1. 至少製作三份備份。
2. 將備份分別存放在兩種不同儲存媒體上。",中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第五條 > 一、 > (一) | p.2-2 | leaf | context=第五條 > 一、 > (一) || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第五條 > 一、 > (一) | p.2-2 | leaf | context=第五條 > 一、 > (一) || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第五條 > 一、 > (二) | p.2-2 | leaf | context=第五條 > 一、 > (二)
證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,異地備援機房之地點與場所，宜以與主機房不受同一災難或失效影響的地理位置為原則；另規劃時也要考量電力、空調、環境監控與告警等支援設施。,證券商在規劃備援機房時，對於地點與場所的選擇建議原則為：宜考量與主機房非同一災難或失效影響之地理位置。这意味着备援机房应设于与主机房相距较远的地方，以减少因单一地理位置发生灾难时的风险。,中華民國證券商業同業公會資訊作業韌性自律規範.md | 第六條 > 三、 | p.2-3 | leaf | context=第六條 > 三、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第六條 > 三、 | p.2-2 | leaf | context=第六條 > 三、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第六條 > 二、 | p.2-2 | leaf | context=第六條 > 二、
證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,應就資訊作業韌性之任務編組人員，依所屬資安分級定期辦理資訊作業演練並留存紀錄。其目標在於提升任務編組人員對資訊作業韌性的認知與應變能力，確保發生中斷時能有效執行應變與復原。,"證券商辦理資訊作業韌性的認知及能力訓練的目標包括：

1. 定期舉辦資訊作業演練並保留記錄；
2. 执行營運衝擊分析，評估關鍵系統中斷可能帶來的危害程度，以制定和執行恢復核心系統以及備份與替代策略為依據。

因此，證券商應定期進行資訊作業韌性訓練，包括進行資訊作業演練及保留紀錄，並執行營運衝擊分析。",中華民國證券商業同業公會資訊作業韌性自律規範.md | 第八條 | p.3-3 | leaf | context=第八條 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第四條 > 二、 | p.2-2 | leaf | context=第四條 > 二、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第四條 > 一、 | p.2-2 | leaf | context=第四條 > 一、
證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,應告知客戶該互動或服務是由 AI 自動完成，或揭露其適用人群、場景或用途；並宜讓客戶自行選擇是否使用，同時提醒是否有替代方案。,證券商在運用 AI 技術與客戶直接互動時，應告知該互動或服務是利用人工智慧技術自動完成，或者披露該互動或金融服務適用的人群、場景或用途。此外，證券商還應該讓客戶自行選擇是否使用這些服務，并提醒他們是否有替代方案，但若法規另有規定則需遵循原規定。,中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第十一條 | p.3-3 | leaf | context=第十一條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | leaf | context=第六條 || 建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (7) > b. | p.11-11 | leaf | context=第12條 > 12、 > (7) > b.
針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,應以風險為導向建立風險管理與定期檢視機制，並評估資料品質、模型品質、系統安全性、公平性、永續發展、透明性與可解釋性；若使用生成式 AI，對其產出資訊仍須由證券商自行評估與管控。,"證券商在模型訓練階段應注意以下事項：

1. 試驗和選擇安全性高且穩定的模型或演算法工具；
2. 進行資料品質處理，確保數據準確性；
3. 执行模型驗證與監控，防止生成不適當資訊。",中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第七條 | p.2-2 | leaf | context=第七條 || 附件一_金融機構運用人工智慧技術作業規範1141012.md | 第七條 | p.3-3 | leaf | context=第七條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | leaf | context=第六條
根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,應要求物聯網設備在使用前變更初始密碼；且密碼長度不得少於六位，建議採英數混合，並宜包含大小寫英文字母或符號。,"根據參考資料，金融機構在管理物聯網設備的「初始密碼」時，應按照以下規範操作：

1. 設備應具備身分驗證機制。
2. 初始密碼應該變更，並建議密碼長度不應少於六位。
3. 建議使用英數字混合編碼，包含大小寫字母或符號。
4. 应以最小權限原則對不同的使用者身份進行授權。

具體來說，對於金融機構而言，這些規範已經明確提出要求，即需變更物聯網設備的初始密碼。",金融機構使用物聯網設備安全控管規範_1100430.md | 第五條 | p.1-1 | leaf | context=第五條 || 建立證券商資通安全檢查機制.md | 12、 > （4） > a. | p.16-16 | leaf | context=12、 > （4） > a. || 保險業辦理資訊安全防護自律規範-4.md | 五、 | p.1-1 | leaf | context=五、
對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,應採用具有加密協定之無線存取點連線，並以網路卡卡號白名單等機制進行設備綁定。,"對於以無線方式連接網路的物聯網設備，規範要求應採取以下綁定或加密機制：

1. 使用具加密協定的無線存取點連接到網絡；
2. 采用網卡卡號白名單等機制進行設備綁定。

這兩項措施來自《金融機構使用物聯網設備安全控管規範_1100430.md》第六條和《保險業辦理資訊安全防護自律規範-4》第五條。",金融機構使用物聯網設備安全控管規範_1100430.md | 第六條 | p.1-1 | leaf | context=第六條 || 保險業辦理資訊安全防護自律規範-4.md | 五、 | p.1-1 | leaf | context=五、 || 金融機構使用物聯網設備安全控管規範_1100430.md | 第二條 | p.1-1 | leaf | context=第二條
金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,應產出：核心業務之 MTPD、RTO、最小可接受服務水準、RPO；各核心資通系統之 RTO 與 RPO；核心業務之復原優先順序；滿足最小可接受服務水準所需資源及其解決方案。,"金融機構在執行「營運衝擊分析（BIA）」後，應產出以下關鍵的分析結果：

1. **業務流程影響**: 分析當核心業務系統或系統部分停用時，會導致何種業務流程的中斷或變異。

2. **客戶影響**: 確認哪些客戶可能會因為業務系統的停用而面臨損失或不便。

3. **成本與收入影響**: 估計營業活動因業務系統中斷將造成的直接及間接費用，以及可能因此產生的收入損失。

4. **組織效能降低程度**: 計算業務停運時，對機構運作效率、客戶服務品質等多方面效能下降的程度。

5. **時間影響與恢復計畫**: 確定事件發生後，從發現問題到完全恢復所需之時間長度，并制定相應的回復計劃。

6. **潛在法律責任**: 估算因業務系統停用而可能帶來的相關法律及道德問題，包括對客戶、供應商或其他利益相關者的影響。",金融機構資訊作業韌性規範_20240521.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第二條 > 四、 | p.1-1 | leaf | context=第二條 > 四、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第二條 > 四、 | p.1-1 | leaf | context=第二條 > 四、
針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,應每年審查供應商營運持續計畫，評估其在天然災害、人為災害、資安事件、設備故障/變更、計畫性更換、產品生命週期結束等情境下，是否仍能滿足金融機構所訂 RTO/RPO。若能滿足，應保存審查紀錄；若不能滿足，應執行供應商營運中斷風險評估，並依結果採取風險處理措施或接受風險並取得核准。,"根據提供的參考資料，針對核心資通系統供應商的營運持續計畫，金融機構應進行以下審查與風險評估：

1. **確認營運持續計畫是否滿足系統復原時間目標 (RTO) 和資料回復時點目標（RPO）**：
   - 檢討核心資通系統供應商的營運持續計畫，以確保其在發生營運中斷時能夠實現所訂定的 RTO 和 RPO 目標。
   
2. **評估因功能改進、維護、升級和現代化計劃性更換引起的營運中斷**：
   - 討論核心資通系統供應商因上述原因造成的營運中斷時，其營運持續計畫是否足夠滿足金融機構的 RTO 和 RPO 目標。

3. **評估產品生命週期結束且不再提供技術協助服務的情況**：
   - 考慮若核心資通系統供應商因產品生命周期结束而不再提供技術支持，其營運持續計畫是否足夠確保金融機構的業務不受影響。
   
在進行上述審查時，若發現供應商的營運持續計畫無法滿足金融機構的要求，則需要進一步執行營運中斷風險評估，並制定相應的风险處理措施或接受相關風險。",金融機構資訊作業韌性規範_20240521.md | 第十條 > 三、 | p.5-5 | leaf | context=第十條 > 三、 || 金融機構資訊作業韌性規範_20240521.md | 第十條 > 一、 > (三) | p.5-5 | leaf | context=第十條 > 一、 > (三) || 金融機構資訊作業韌性規範_20240521.md | 第十條 > 一、 > (四) | p.5-5 | leaf | context=第十條 > 一、 > (四)
在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,人員離調職時，應儘速移除權限。,根據提供的參考資料，在「營運環境管理」方面，對於人員離調職時的權限處理，時效性規定是應該盡速移除權限。這是多個文件中的共通要求，無論是在金融機構資通安全防護基準還是保險業辦理資訊安全防護自律規範中都提到過。,金融機構資通安全防護基準.md | 第四條 > 一、 | p.1-1 | leaf | context=第四條 > 一、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 一、 | p.2-2 | leaf | context=第 4 條 > 一、 || 金融機構資通安全防護基準.md | 第四條 > 十二、 | p.2-2 | leaf | context=第四條 > 十二、
針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,應加強連續假期資安防護，至少包括：評估系統與電腦於連假期間是否有開機必要，無必要則關閉連線服務或電源；並評估連假後第一個營業日是否需提前到班，以確保核心資通系統及第一類電腦系統正常運作。,"根據提供的參考資料，針對「連續假期」的資安防護，金融機構應評估並執行以下事項：

一. 應評估系統及電腦於連續假期開機必要性。如無必要則須關閉連線服務或電源。

二. 应評估於連續假期結束後第一個營業日是否提前到班，以確保核心資通系統及第一類電腦系統正常運作。",金融機構資通安全防護基準.md | 第八條 > 七、 > (一) | p.4-4 | leaf | context=第八條 > 七、 > (一) || 金融機構資通安全防護基準.md | 第八條 > 七、 > (二) | p.4-4 | leaf | context=第八條 > 七、 > (二) || 金融機構資通安全防護基準.md | 第二條 > 六、 | p.1-1 | leaf | context=第二條 > 六、
銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派有何安全設計要求？,銀行應取得法人客戶書面同意指派簽署人；簽署人也可由法人客戶所指派之兩位以上授權人員以電子簽名向銀行指派，但不得出現任一授權人員與簽署人為同一人的情形。,"銀行受理法人客戶申辦電子簽名時，對於「簽署人」的指派有以下安全設計要求：
1. 簽署人需要由法人客戶指派；
2. 如果法人客戶無法自行指派，則可以由其兩位以上的授權人員以電子簽名向銀行指派簽署人。但同一時間內不能涉及任一授權人員與簽署人為同一人的行為；
3. 授權人員的指派需要通過書面方式獲得銀行同意。

以上安全設計要求均需銀行針對業務及客戶進行風險評估後，訂定申請資格與管控機制，并由董（理）事會或經其授權的經理部門核準。",附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 二、 | p.2-2 | leaf | context=第三條 > 二、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 三、 | p.2-3 | leaf | context=第三條 > 三、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 一、 | p.2-2 | leaf | context=第三條 > 一、
根據規範，電子簽名私鑰儲存於「客戶端」與儲存於「銀行端」在應用範圍上有何差異？,若簽名私鑰儲存於客戶端或銀行端（含第三方平台），可辦理申請指示類業務；若簽名私鑰係在客戶端產生並儲存於客戶端，則可辦理申請指示類及交易指示類業務。,"根據參考資料，簽名私鑰儲存於客戶端與銀行端（含第三方平臺）的應用範圍分別如下：

1. 簽名私鑰儲存於客戶端或銀行端者：得辦理申請指示類業務。

2. 簽名私鑰於客戶端產生並儲存在客戶端者：得辦理申請指示類及交易指示類業務。",附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第五條 > 一、 | p.4-4 | leaf | context=第五條 > 一、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第五條 > 二、 | p.4-4 | leaf | context=第五條 > 二、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第六條 > 二、 > (三) | p.4-4 | leaf | context=第六條 > 二、 > (三)
行動應用程式（App）在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時，應採取哪些限制措施？,依上傳規範，App 應在偵測到裝置疑似遭破解時，主動通知使用者或關閉應用程式；另在證券/期貨新興科技規範中，也要求至少提示使用者注意風險。,"對於行動應用程式在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時的限制措施，根據提供的參考資料如下：

1. **提示用戶注意風險**：當偵測到設備可能已被root或Jailbreak的情況下，應向用戶顯示通知，提醒他們這可能會導致更高的安全風險。
2. **限制特定功能使用**：在上述情況下，還應該限制執行包括非約定轉帳服務等敏感操作。

這些措施來自以下參考資料：

- 參考資料1中的第二條提到金融機構對於行動裝置應用程式作業規範時的處理方式。
- 參考資料2中對Root和Jailbreak做了詳細說明，強調其可能引發的安全風險，進一步支持了上述措施。

總之，在設備疑似遭破解的情況下，建議採取警示用戶並限制某些敏感操作的方式來保護系統安全。",附件1_金融機構提供行動裝置應用程式作業規範.md | 第五條 | p.2-2 | leaf | context=第五條 || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第二條 > 二、 | p.1-1 | leaf | context=第二條 > 二、 || 1110921新興科技資通安全自律規範及修正對照表.md | 第六條 > 三、 > (二) > 2. | p.3-3 | leaf | context=第六條 > 三、 > (二) > 2.
針對 App 的「金鑰保護」，規範要求應採用哪些技術（如硬體安全元件或軟體保護技術）？,"規範要求應增強 App 軟硬體防護機制以保護機敏資訊，包括：使用設備保護金鑰、保護記憶體參數與儲存檔案、防止設備被複製；並可採用如安全元件（Secure Element, SE）、**可信賴執行環境（TEE）**等安全技術。","根據提供的參考資料，針對App的「金鑰保護」，規範要求應採用以下技術：

1. 晶片安全設計：將金鑰儲存於符合我國國家標準 CNS 15408 EAL5、共通準則(Common Criteria)ISO/IEC 15408 v2.3 EAL 5 或 FIPS 140-2 Level 3 以上或其他安全強度相同之硬體安全元件(SE)內。
2. 語料保護技術：採用軟體保護技術（如白箱加密法並搭配程式碼混淆技術），並經評估單位確認安全防護。

兩種方式均需通過安全性評估。",附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 一、 > (二) | p.3-3 | leaf | context=第十一條 > 一、 > (二) || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 一、 > (一) | p.3-3 | leaf | context=第十一條 > 一、 > (一) || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 三、 | p.3-3 | leaf | context=第十一條 > 三、
根據基準，電子銀行業務的交易指示如何區分為「高風險交易」與「低風險交易」？,依已上傳基準可直接支持的內容，電子銀行業務之交易指示係依風險等級區分為高風險與低風險交易，且首次申辦高風險交易之業務須經主管機關核准後實施；低風險交易則得在符合規定安全設計下辦理，部分情況可委由第三方驗證。,"根據提供的參考資料，電子銀行業務的交易指示可以區分為「高風險交易」和「低風險交易」如下：

**高風險交易**
- 是指該訊息執行結果對客戶權益有重大影響的所有類型電轉及交易指示，包含非約定轉帳交易超過辦理低風險交易最高限額之交易指示。

**低風險交易**
- 是指該訊息執行結果對客戶權益無重大影響的各類電子轉帳及交易指示，包括下列各項：
  - 照會、認識客戶
  - 該作業協助電子支付機構確認客戶身分
  - 其他辦理前目第二子目之申請指示",金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > １、 | p.9-9 | leaf | context=第七條 > 一、 > (二) > １、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 > (３) | p.9-9 | leaf | context=第七條 > 一、 > (二) > ２、 > (３) || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 > (１) | p.9-9 | leaf | context=第七條 > 一、 > (二) > ２、 > (１)
針對「非約定轉帳交易」，基準對於透過網際網路辦理的低風險交易限額（每筆、每日、每月）有何規定？,透過網際網路辦理之低風險非約定轉帳交易，以每一帳戶每筆不超過等值新臺幣 5 萬元、每天累積不超過等值新臺幣 10 萬元、每月累積不超過等值新臺幣 20 萬元為限。,"基準對於通過網際網路辦理的非約定轉帳交易（即「非約轉交易」）每筆、每日及每月的限額規定如下：

- 每筆交易不超過等值新臺幣5萬元；
- 每日累計不超過等值新臺幣10萬元；
- 每月累積不超過等值新臺幣20萬元。

這些規定適用於透過網際網路進行的低風險交易。",金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > １、 | p.13-13 | leaf | context=第八條 > 二、 > (六) > １、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > ３、 | p.13-13 | leaf | context=第八條 > 二、 > (六) > ３、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第十一條 > 二、 > (五) > １、 | p.129-129 | leaf | context=第十一條 > 二、 > (五) > １、
根據第二條，適用本規範的「資訊服務」具體包含哪三種服務形態？,包含 系統發展類、維運管理類及雲端服務類。,"根據參考資料，適用本規範的「資訊服務」具體包含以下三種服務形態：

1. 系統發展類
2. 維運管理類
3. 雲端服務類",附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第三條 > 四、 | p.1-1 | leaf | context=第三條 > 四、 || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、 || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、
第四條規定，若委託開發項目涉及核心資通系統，其專案成員應有哪類專業人員參與以協助管理風險？,應有 資訊安全人員 參與。,根據提供的參考資料，第四條規定指出，若委託開發項目涉及核心資通系統，其專案成員應有資訊安全人員參與以協助管理風險。,附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第四條 > 二、 > (一) | p.2-2 | leaf | context=第四條 > 二、 > (一) || 附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第四條 > 二、 > (二) | p.2-2 | leaf | context=第四條 > 二、 > (二) || 保險業辦理資訊安全防護自律規範-6.md | 三、 > (二) | p.1-1 | leaf | context=三、 > (二)
規範中對於「平台即服務 (PaaS)」的定義為何？承租人對作業系統擁有何種程度的掌控權？,PaaS 是雲端服務業者提供作業系統使用，承租人可在該作業系統上操作自己的軟體；承租人可掌控運作軟體的環境，並擁有作業系統部分掌控權，但並不掌控作業系統本身與硬體。,"根據提供的參考資料，PaaS (平台即服務) 的定義是：雲端服務業者提供作業系統使用，承租人能在該作業系統上操作自己的軟體，擁有運作軟體環境的部分控制權，但並不控制作業系統和硬體。

承租人對作業系統的掌控權程度是部分掌控。",附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 一、 > (二) | p.1-1 | leaf | context=第二條 > 一、 > (二) || 保險業辦理資訊安全防護自律規範-3.md | 貳、 > 一、 > (三) | p.1-1 | leaf | context=貳、 > 一、 > (三) || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 一、 > (三) | p.1-2 | leaf | context=第二條 > 一、 > (三)
金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規有何要求？,要求 境外當地資料保護法規不得低於我國要求。,"根據參考資料，金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規的要求如下：

- 境外當地資料保護法規不得低於我國要求。

因此，如果金融機構將客戶資料儲存到境外，那麼該地區的資料保護法規需至少與台灣當前的規定保持一致。",附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 > (二) | p.3-3 | leaf | context=第二條 > 十一、 > (二) || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 > (一) | p.3-3 | leaf | context=第二條 > 十一、 > (一) || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 > (三) | p.3-4 | leaf | context=第二條 > 十一、 > (三)
根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備什麼樣的保護與授權機制？,新採購的 ATM，其吐鈔模組與 ATM 控制主機間的通訊指令，應受保護並具有授權機制，以防止植入未經授權程式、竄改指令或竄改韌體。,"根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備以下保護與授權機制：

1. 受保護；
2. 具有授權機制。",附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第五條 > 六、 | p.2-2 | leaf | context=第五條 > 六、 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第六條 > 一、 | p.2-2 | leaf | context=第六條 > 一、 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第六條 > 三、 > (三) | p.2-3 | leaf | context=第六條 > 三、 > (三)
採用 IP 連線之 ATM，若作業系統原廠已不再提供安全更新，金融機構在汰換期間應採取哪些補強措施？,應先提出汰換計畫並提報董（理）事會或其授權經理部門核定；在未完成汰換期間，應採取補強措施，例如：採用具 Virtual Patching 功能之 WAF 或 IPS，或採網段隔離機制並限制同網段主機間連線及資源存取，且應儘速完成補強措施或汰換，以防範已知資安漏洞。,"若採用 IP 连線的 ATM 使用作業系統原廠已不再提供安全更新，金融機構在汰換期間可以採取以下補強措施：

1. 部署具有 Virtual Patching 功能的 Web 应用防火牆（WAF）或入侵檢測與防止系統（IPS）。
2. 進行網段隔離，並限制同網段主機間連線及資源存取。

這些措施可以幫助保護 ATM 系統免受已知資安威脅。",附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第八條 | p.3-3 | leaf | context=第八條 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第十條 > 一、 | p.3-3 | leaf | context=第十條 > 一、 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第六條 > 三、 > (三) | p.2-3 | leaf | context=第六條 > 三、 > (三)
根據第六條，在處理 AI 不公正或偏見問題時，應評估哪些個人生理特徵參數是否納入演算法判斷？,應評估是否納入演算法判斷的資料參數包括：姓名、國籍、族群、出生地或居住所、年齡，以及所有生理特徵；生理特徵包含但不限於身高、體重、性別、膚色、髮量、肢體障礙等，另也包括所有非涉及心神喪失致無法自主理解該金融商品判斷能力之疾病。,"根據提供的參考資料，第六條在處理AI不公正或偏見問題時，應評估的個人生理特徵參數包括：

- 姓名
- 年齡
- 所有生理特徵（如身高、體重、性別、膚色、髮量、肢體障礙等）
- 所有非涉及心神喪失致無法自主理解該金融商品判斷能力之疾病

這些參數均應在資安、法遵及風控等層面評估風險，並依內部程序辦理。",附件一_金融機構運用人工智慧技術作業規範1141012.md | 第六條 | p.2-3 | leaf | context=第六條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | leaf | context=第六條 || 附件1_金融機構運用新興科技作業規範1090417.md | 第五條 > 六、 | p.8-9 | leaf | context=第五條 > 六、
金融機構運用 AI 技術與消費者互動時，應如何告知消費者該服務的性質，並提供何種選擇權？,應告知該互動或服務是利用 AI 技術自動完成，或揭露其適用的人群、場合、用途；並宜由消費者自行選擇是否使用，且提醒是否有替代方案。,金融機構及證券公司運用人工智能技術與消費者互動時，應告知該互動或服務是運用人工智慧行業技術自動完成，並披露適用的群體、場景或用途。同時，應提供消費者選擇是否使用此服務的權利，并提醒消費者是否有替代方案。如果法律法規有其他規定，则需遵從相關規定。,附件一_金融機構運用人工智慧技術作業規範1141012.md | 第十一條 | p.4-4 | leaf | context=第十一條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第十一條 | p.3-3 | leaf | context=第十一條 || 建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (7) > b. | p.11-11 | leaf | context=第12條 > 12、 > (7) > b.
根據第二條，保險業經營的「行動服務」具體包含哪四項業務？,包含 行動投保服務、行動保全服務、行動理賠服務及行動房貸服務。,"根據參考資料，保險業經營的「行動服務」具體包含以下四項業務：

1. 行動投保服務
2. 行動保全服務
3. 行動理賠服務

這三項業務明確列出於第二條，而第四條則描述了這些業務員或服務人員應符合的條件。行動房貸服務未在參考資料中提及，因此不包含在四項業務之中。",保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 四、 | p.2-2 | leaf | context=第四條 > 四、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 二、 | p.2-2 | leaf | context=第四條 > 二、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第 2條 | p.1-1 | leaf | context=第 2條
業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務有何限制？,自停止招攬處分期滿或撤銷登錄後重新登錄之日起六個月內，得暫停其辦理行動投保及涉及契約權利義務變動之行動保全等服務之權限。,"根據提供的參考資料，如果一位業務員因不當招攬行為受到六個月以上的停止招攬處分，在恢復登錄後的半年內，對其辦理行動服務的限制包括：

1. 暫停办理行动投保服务；
2. 涉及契約權利義務變動的行动保全服务，如要保人住所或收费地址变更等服务。",保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 二、 | p.2-2 | leaf | context=第四條 > 二、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 六、 | p.2-2 | leaf | context=第四條 > 六、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 一、 | p.2-2 | leaf | context=第四條 > 一、
根據第九條，消費者取得帳號密碼後，若超過多久時間未再辦理網路投保或保險服務，則該帳號需重新驗證？,若自申請完成後 五年內 都未再與該保險業辦理網路投保或網路保險服務，則必須重新完成身分驗證後，才能再使用該帳號密碼。,根據提供的參考資料，並未明確指出消費者帳號密碼需要重新驗證的具體時間限制。第九條提到的是五年之內未使用會要求重新驗證，但沒有提供超過這個時間後多長時間的情況。因此，無法從所提供的資料中得出超過多久時間的答案。,保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第九條 | p.4-4 | leaf | context=第九條 || 保險業辦理資訊安全防護自律規範-5.md | 四、 > (四) | p.1-1 | leaf | context=四、 > (四) || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 四、 > (四) | p.22-22 | leaf | context=第 22 條 > 四、 > (四)
