"題號","問題","標準答案","來源法規","條號","原條文摘錄"
"63","在雲端服務安全控管中，哪一類服務被明確排除在規範範圍之外？","被排除的是：僅提供會員公司內部使用，且不涉及客戶資料處理之服務。","附件三：保險業運用新興科技作業原則","貳、雲端服務安全控管第二點","「本安全控管範圍不包含僅提供會員公司內部使用且不涉及客戶資料處理之服務。」"
"64","規範要求社群媒體的內容過濾與監視政策，應至少包含防止哪些機密或隱私外洩的情事？","應至少包含防止 客戶隱私 與 銀行／機構機密 外洩。","金融機構運用新興科技作業規範（可對應你題目中的同類要求）","第三條第六款","「應制定內容過濾與監視政策，其監視內容應至少包含防止客戶隱私及銀行機密外洩…」"
"65","根據第五條，物聯網設備的初始密碼變更，在長度與組成上有何具體建議？","密碼長度不應少於八位，建議英數字混合使用，且宜包含大小寫英文字母或符號。","附件四：保險業使用物聯網設備作業準則","第五點","「…應進行初始密碼變更，密碼長度不應少於八位，建議採英數字混合使用，且宜包含大小寫英文字母或符號…」"
"66","若物聯網設備存在已知弱點且無法修補，應採取哪些網路連線限制或監控措施？","應限制網際網路連線能力、加強存取控制，或進行網路連線行為監控；並視需要訂定汰換期程。","附件四：保險業使用物聯網設備作業準則","第九點","「設備存在已知弱點且無法修補或更新…應限制網際網路連線能力，加強存取控制或進行網路連線行為監控；並視需要訂定汰換期程。」"
"67","採用靜態密碼進行身分驗證時，密碼連續錯誤達幾次後，公司應進行妥善處理？","連續錯誤達 五次。","附件五：保險業網路電子商務身分驗證之資訊安全作業準則","第三點第（六）款","「密碼連續錯誤達五次，各公司應做妥善處理。」"
"68","規範中定義的多因子驗證 (MFA)，其安全設計必須具有哪三項技術中的任兩項？","三項技術為：(1) 用戶與保險業所約定且無第三人知悉之資訊，如密碼、圖形鎖、手勢等；(2) 用戶所持有之設備，如密碼產生器、密碼卡、晶片卡、電腦、行動裝置、憑證載具等；(3) 用戶擁有之生物特徵，如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等。規範要求安全設計須具備其中任兩項以上。","附件五：保險業網路電子商務身分驗證之資訊安全作業準則","第六點","「其安全設計具有下列三項之任兩項以上技術…(一)用戶與保險業所約定之資訊…(二)用戶所持有之設備…(三)用戶提供給保險業其所擁有之生物特徵…」"
"69","在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應如何訂定罰責？","應訂定罰責標準，並依損害程度向委外廠商進行求償或罰款。","附件六：保險業核心資通系統作業委外資安注意事項","四、招標作業階段（一）3","「未符合資安要求事項或服務水準時，應訂定罰責標準，依損害程度向委外廠商進行求償或罰款。」"
"70","驗證作業階段中，針對「系統發展類」的委外項目，應要求廠商提供何種安全性檢測證明？","應要求廠商提供資訊系統之安全性檢測證明，例如：源碼檢測、弱點掃描或滲透測試等。","附件六：保險業核心資通系統作業委外資安注意事項","七、驗收作業階段（二）2","「系統發展類：…要求委外廠商提供資訊系統之安全性檢測證明，如：源碼檢測、弱點掃描或滲透測試等。」"
"71","根據第二條，將保單內容拆分為兩部分時，「電子化保險契約條款」可以採哪兩種形式提供給保戶？","可採 QR Code 或 網址 的形式提供。","保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範","第二條","「電子化保險契約條款：保險契約條款以 QR Code、或網址 之形式，印製於紙本文件、或載於電子文件提供保戶。」"
"72","保險業保存已簽發之電子保單交易紀錄時，對於儲存媒體與備份頻率有何要求？","應使用加密之特定媒體儲存，並委託公信第三者保存，且應定期製作備份資料。","保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範","第四條","「…應使用加密之特定媒體儲存並委託公信第三者保存，並定期製作備份資料。」"
"73","根據第三條，期貨商的資訊安全人員及主管每年應參加多少小時以上的資安專業課程訓練？","每年應參加 十五小時以上。","建立期貨商資通安全檢查機制","第三條第（三）款","「資訊安全人員及主管每年應定期(每年一次)參加十五小時以上資訊安全專業課程訓練或職能訓練並通過評量。」"
"74","期貨商對於核心系統的重要組態設定檔案，應採取何種安全保護措施（如加密或儲存方式）？","應依所屬資安分級，對核心系統重要組態設定檔案及其他具保護需求之資訊，進行加密或以其他適當方式儲存。","建立期貨商資通安全檢查機制","電腦作業系統環境設定及使用權限設定 b.(g)","「公司應依其所屬資安分級對核心系統重要組態設定檔案及其他具保護需求之資訊進行加密或以其他適當方式儲存。」"
"75","證券商對於資訊資產的資料與文件，在保存期限到期後應如何處理？","應於保存期限到期後，進行刪除與銷毀。","建立證券商資通安全檢查機制","4、資產分類與控制（4）","「公司應對資訊資產之資料與文件的保存期限進行規範，並於保存期限到期後進行刪除與銷毀。」"
"76","針對「異常 IP 登入」的監控，規範列舉了哪三種應設有警示機制的具體態樣？","三種態樣為：同一來源 IP 登入不同帳號達一定次數以上、同一帳號在一定時間內由不同國家登入、異常來源（如 F-ISAC 黑名單或國外 IP）嘗試登入。","建立證券商資通安全檢查機制","異常 IP 登入之監控與預警 l.","「…如有發現下列情形，應設有警示機制…：(a) 同一來源 IP 登入不同帳號達一定次數以上。 (b) 同一帳號在一定時間內由不同國家登入。 (c) 發現異常來源（如 F-ISAC 公布之黑名單或國外 IP）嘗試登入。」"
"77","發行人於交易平台辦理發行之虛擬通貨（STO），其種類僅限於哪兩種類型？","僅限於 不具有股東權益之分潤型虛擬通貨 與 債務型虛擬通貨。","財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法逐條說明","第二十五條","「發行人於交易平台辦理發行之虛擬通貨種類，以不具有股東權益之分潤型及債務型虛擬通貨為限。」；「前項所稱分潤型係指得參與分享發行人經營利益；債務型係指定有發行期間且到期還本並得分享發行人配發之利息。」"
"78","專業投資人中之「自然人」，認購每一虛擬通貨募資案的金額上限是多少？","上限為 新臺幣三十萬元。","證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法逐條說明","第三十一條","「專業投資人之自然人每一虛擬通貨募資案認購金額不得逾新臺幣三十萬元。」"
"79","本注意事項所定義的「重大性」委託作業，包含哪三種具體情形？","包含三種情形：(1) 委外作業無法提供服務或有資訊安全疑慮，對期貨商業務營運有重大影響者；(2) 委外作業涉及客戶資料安全事件，對期貨商或客戶權益有重大影響者；(3) 其他委外作業對期貨商或客戶權益有重大影響者。","期貨商作業委託他人處理應注意事項","第四點","「本注意事項所稱之重大性，係指下列情形之一：（一）委外作業無法提供服務或有資訊安全疑慮，對期貨商之業務營運有重大影響者。（二）委外作業涉及客戶資料安全事件，對期貨商或客戶權益有重大影響者。（三）其他委外作業對期貨商或客戶權益有重大影響者。」"
"80","期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後多久內提報董事會？","應於每年年度終了後四個月內提報董事會報告。","期貨商作業委託他人處理應注意事項逐點說明","跨境委外查核規定","「…並應於每年年度終了後四個月內將當年度辦理跨境委外查核報告提報董事會報告。」"
"81","法人採通信或電子化方式開戶時，對於公司的股東人數與國籍身分有何限制？","限於本國公司法登記股東為三人以下之公司，且其負責人及股東均須為本國國籍成年自然人。","期貨商受理通信或電子化方式開戶應行注意事項","第二點","「法人採通信或電子化方式開戶者，以本國公司法登記股東為3人以下之公司為限，且其負責人及股東均為本國國籍成年自然人。」"
"82","委託人在網頁簽署開戶契約前，系統對於其閱讀完整內容的時間有何防護設計？","系統應要求：從點選進入相關內容到同意簽署確認前，畫面停留時間須以可以適當閱讀完整內容為依據。","期貨商受理通信或電子化方式開戶應行注意事項","第五點第二款","「點選進入相關內容後至同意簽署確認前，其畫面停留之時間以可以適當閱讀該完整內容為依據。」"
"83","期貨商發生重大資安事件時，應於知悉事件後多久時間內完成初步通報？","應於 30 分鐘內 完成初步（正式）通報。","期貨商通報重大資安事件之範圍申報程序及其他應遵循事項","第三點第（一）款","「…期貨商須於30分鐘內填具『期貨商重大資安事件通報單-初步(正式)通報作業』。」"
"84","對於核心系統異常，需滿足哪些特定條件（如影響時數或次數）才符合申報標準？","核心系統異常若在開盤期間影響交易達 2 小時以上未能恢復，或在10 日內就同一資安、系統異常事件通報次數達 3 次以上，即屬重大資安事件申報標準。","期貨商通報重大資安事件之範圍申報程序及其他應遵循事項","第二點第（一）款","「…發生異常，且開盤期間影響交易達2小時以上未能恢復，或於10日內就同一資安、系統異常事件，通報次數達3次以上者。」"
"85","證券商在評選資訊服務供應商時，應評估其「集中度」並注意什麼樣的風險控管原則？","應評估資訊服務供應商的集中度與作業能力，並採取適當風險管控措施，且應注意適度分散委外對象，以控管作業風險。","中華民國證券商業同業公會供應鏈風險管理自律規範","第三條第一款","「證券商應評估資訊服務供應商之集中度，包括評估資訊服務供應商作業能力，採取適當風險管控措施…並應注意作業委託資訊服務供應商之適度分散以控管作業風險。」"
"86","第一類證券商在採購服務或產品時，應載明於規劃設計時納入哪兩項安全機制（Security/Privacy by design）？","應載明於規劃設計時納入：(1) 機敏資料保護、授權與認證、安全性更新等資通安全機制，以及 (2) 隱私保護機制（Privacy by design）。","中華民國證券商業同業公會供應鏈風險管理自律規範","第四條第一款第（二）目3、4","「第一類證券商應載明採購之服務與產品於規劃設計時納入服務與產品之機敏資料保護、授權與認證、安全性更新等。」、「第一類證券商應載明採購之服務與產品於規劃設計時納入**隱私保護機制(Privacy by design)**之要求。」"
"87","根據第三條，第一類證券商應針對核心系統定義何種時間限制，並在逾越時自動登出？","應定義核心系統的閒置時間或可使用期限；當逾越所定許可閒置時間或可使用期限時，系統宜自動將使用者帳號登出。","中華民國證券商業同業公會資通系統安全防護基準自律規範","第三條第四、五款","「第一類證券商應定義核心系統之閒置時間或可使用期限…」、「逾越所定之許可閒置時間或可使用期限時，系統宜自動將使用者帳號登出。」"
"88","對於「電子式交易資通系統」，身分驗證失敗達幾次後應予以鎖定帳號，且鎖定時間至少多久？","一般資通系統帳號登入驗證失敗達 3 次後，至少 15 分鐘內不得再嘗試登入；若屬電子式交易資通系統，密碼輸入錯誤達 3 次時，應記錄失敗事件、鎖定帳號並中斷連線。","中華民國證券商業同業公會資通系統安全防護基準自律規範","第六條第五、六款","「帳號登入進行身分驗證失敗達三次後，至少十五分鐘內不允許該帳號繼續嘗試登入。」、「屬電子式交易資通系統，使用者密碼輸入錯誤次數達三次者，應記錄登入失敗事件、鎖定該登入帳號並中斷連線。」"
"89","證券商在進行網路區域劃分時，應獨立劃分出哪些工作網段以落實網段隔離？","應至少依業務運作獨立劃分如：隔離區（DMZ）、營運區（Production）、**測試區（UT 或 UAT）**及其他必要網段。","中華民國證券商業同業公會網路安全防護自律規範","第三條第二款","「網段應以維持業務運作劃分區域：如隔離區(非軍事區，DMZ)、營運區(Production, Prod.)、**測試區(Unit Test, UT 或 User Acceptance Test, UAT)**及其他等網段。」"
"90","證券商對於已達到生命週期終止（EOS/EOL）之網路設備，應採取什麼樣的管理作為？","應避免使用 EOS/EOL 網路設備，並應針對這類設備擬定汰除相關計畫。","中華民國證券商業同業公會網路安全防護自律規範","第四條第一款第一目","「證券商應避免使用生命週期終止(End of Service, EOS/End of Life, EOL)之網路設備，並針對 EOS/EOL 之網路設備擬定汰除相關計畫。」"
"91","在本基準中，定義「重要的資料」或「重要的本體裝置」時，主要考量的三項準則為何？","三項準則是：(1) 發生問題時會在金融服務功能面影響多數客戶且不易有替代方案；(2) 一旦被破壞或竄改，會對資訊系統運轉造成極大影響；(3) 客戶資料本身。","金融機構資訊系統安全基準","總則（伍）一","「本基準中『重要的……』之意義，是表示下列的情況：(一) 當該…發生時，在提供金融服務的功能面…對多數客戶發生影響，同時可以假設為不易有替代方案…；(二) 當該…發生被破壞或篡改時，對資訊系統的運轉有極大的影響；(三) 客戶資料本身。」"
"92","設備基準中對於「電腦機房」的門窗安全性強度及管理方式（如進出口數量）有何要求？","要求包括：平時使用之進出口應僅限一處，並須設置等候室；出入口門窗應具有足夠強度並加鎖；窗口應有防火、防水、防破壞措施，且設置由外部無法窺視設備的裝置。","金融機構資訊系統安全基準","設備基準 設27、設28、設29","「平時使用之進出口，應僅限設置一處，並須設置等候室」、「出入口之門窗，應具有足夠之強度，並須加鎖」、「窗口應設置防火、防水、防止破壞等措施，並須設置由外部無法窺視機器設備之裝置。」"
