問題,標準答案,LLM答案,LLM答案路徑
規範中定義的「復原時間目標（RTO）」與「資料復原點目標（RPO）」分別代表什麼意義？,RTO 是指中斷事故發生後，核心系統從中斷到回復至最小可接受服務水準的目標時間；RPO 是指中斷事故發生時，核心系統可承受的資料損失量所對應、可被回復的最近時間點。,"復原時間目標（Recovery Time Objective, RTO）是指在事件發生後，恢復系統或業務運作至最低可以容忍的狀態所需最短時間。根據提供的資料：

- 在金融機構的信息作業韌性規範中，核心資通系統的RTO定義為：中斷事故發生後，核心資通系統從中斷事故發生到回復至最小可接受服務水準之目標時間。
- 在同一規定中，核心業務的RTO定義為：中斷事故發生後，核心業務從中斷事故發生到回復至最低可接受服務水準之目標時間。

兩者的核心差異在於適用範圍：一個針對核心資通系統，另一個針對核心業務。",金融機構資訊作業韌性規範_20240521.md | 第二條 > 七、 > (二) | p.1-1 | leaf | context=第二條 > 七、 > (二) || 金融機構資訊作業韌性規範_20240521.md | 第二條 > 七、 > (一) | p.1-1 | leaf | context=第二條 > 七、 > (一) || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、
針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為何？,內容為：至少製作三份備份、分別存放於兩種不同儲存媒體、且至少一份異地保存。,"針對備份機制，規範建議考量的「3-2-1 備份原則」具體內容為：

1. 至少製作三份備份；
2. 將這些備份存放在不同的物理地點（例如：家裡、公司、不同資料中心）；
3. 將其中兩份儲存在不同的媒體類型中，比如硬碟和光碟等。",中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第五條 > 一、 > (一) | p.2-2 | leaf | context=第五條 > 一、 > (一) || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第五條 > 一、 > (一) | p.2-2 | leaf | context=第五條 > 一、 > (一) || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第五條 > 一、 > (二) | p.2-2 | leaf | context=第五條 > 一、 > (二)
證券商在規劃備援機房時，對於地點與場所的選擇有何建議原則以降低風險？,異地備援機房之地點與場所，宜以與主機房不受同一災難或失效影響的地理位置為原則；另規劃時也要考量電力、空調、環境監控與告警等支援設施。,證券商在規劃備援機房時，對於地點與場所的選擇建議原則為：宜考量與主機房非同一災難或失效影響之地理位置。這樣的選擇能有效降低因災害導致雙方設備同時故障的可能性，從而增強系統穩定性和安全性。,"中華民國證券商業同業公會資訊作業韌性自律規範.md | 第六條 > 三、 | p.2-3 | leaf | context=第六條 > 三、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第六條 > 三、 | p.2-2 | leaf | context=第六條 > 三、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_23,row=17,col=4,chunk=1"
證券商應如何辦理資訊作業韌性的認知及能力訓練，其目標為何？,應就資訊作業韌性之任務編組人員，依所屬資安分級定期辦理資訊作業演練並留存紀錄。其目標在於提升任務編組人員對資訊作業韌性的認知與應變能力，確保發生中斷時能有效執行應變與復原。,"證券商為提升資訊作業韌性的認知及能力訓練目標主要包括以下幾個方面：

1. 設立資訊作業韌性管理組織，並根據資安分級規定，定期舉辦資訊作業演練，留存紀錄。

2. 执行營運衝擊分析，評估核心系統中斷可能造成的影響，同時設定核心系統的恢復時間目標（RTO）和資料復原點目標（RPO），作為業務連續性和數據完整性管理的基礎。

證券商需要透過這些訓練來提升對資訊作業韌性的認識及應急處理能力，確保在面對各種意外情況時能夠迅速有效地響應和回復業務運作。",中華民國證券商業同業公會資訊作業韌性自律規範.md | 第八條 | p.3-3 | leaf | context=第八條 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第四條 > 二、 | p.2-2 | leaf | context=第四條 > 二、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第四條 > 一、 | p.2-2 | leaf | context=第四條 > 一、
證券商在運用 AI 技術與客戶直接互動時，應如何落實「透明性」原則？,應告知客戶該互動或服務是由 AI 自動完成，或揭露其適用人群、場景或用途；並宜讓客戶自行選擇是否使用，同時提醒是否有替代方案。,"證券商在運用 AI 技術與客戶直接互動時，應落實的「透明性」原則包括：

1. 告知客戶互動或服務使用了人工智慧技術進行自動完成；
2. 揭露該互動或金融服務適用的人群、場景或用途。

同時，證券商還需尊重客戶選擇權，並提醒客戶有無替代方案。",中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第十一條 | p.3-3 | leaf | context=第十一條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | leaf | context=第六條 || 建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (7) > b. | p.11-11 | leaf | context=第12條 > 12、 > (7) > b.
針對 AI 技術的「系統穩健性與安全性」，證券商在模型訓練階段應注意哪些事項？,應以風險為導向建立風險管理與定期檢視機制，並評估資料品質、模型品質、系統安全性、公平性、永續發展、透明性與可解釋性；若使用生成式 AI，對其產出資訊仍須由證券商自行評估與管控。,"證券商在模型訓練階段應注意以下事項：

1. 注意選擇的安全性和穩定性的模型或演算法工具。
2. 進行資料品質處理。
3. 模型驗證與監控，以提高訓練品質。
4. 防止生成不適當資訊。
5. 提升人工智慧技術的輸出或生成內容的準確性與可靠性。",中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第七條 | p.2-2 | leaf | context=第七條 || 附件一_金融機構運用人工智慧技術作業規範1141012.md | 第七條 | p.3-3 | leaf | context=第七條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | leaf | context=第六條
根據規範，金融機構應如何管理物聯網設備的「初始密碼」？,應要求物聯網設備在使用前變更初始密碼；且密碼長度不得少於六位，建議採英數混合，並宜包含大小寫英文字母或符號。,"根據上述參考資料，金融機構在管理物聯網設備的「初始密碼」方面應採取以下措施：

1. 確保物聯網設備具有身分驗證機制。
2. 每次變更前開設備的初始密碼，以確保安全性。
3. 初始密碼長度不應少於六位，建議使用英數字混合且包含大小寫英文字母或符號。
4. 針對不同的使用者身份進行最小權限授權。",金融機構使用物聯網設備安全控管規範_1100430.md | 第五條 | p.1-1 | leaf | context=第五條 || 建立證券商資通安全檢查機制.md | 12、 > （4） > a. | p.16-16 | leaf | context=12、 > （4） > a. || 保險業辦理資訊安全防護自律規範-4.md | 五、 | p.1-1 | leaf | context=五、
對於以無線方式連接網路的物聯網設備，規範要求應採取哪些綁定或加密機制？,應採用具有加密協定之無線存取點連線，並以網路卡卡號白名單等機制進行設備綁定。,"根據提供的參考資料，對於以無線方式連接網絡的物聯網設備，規範要求應該採取以下綁定或加密機制：

1. 使用具加密協議的無線存取點（WAP）來連接到網路。
2. 通過網路卡卡號白名單等機制進行設備綁定。

這兩項規定都來自同一個文件《金融機構使用物聯網設備安全控管規範_1100430.md》，並且在另一份文件《保險業辦理資訊安全防護自律規範-4.md》中有類似的規定，只是表述略有不同。","金融機構使用物聯網設備安全控管規範_1100430.md | 第六條 | p.1-1 | leaf | context=第六條 || 保險業辦理資訊安全防護自律規範-4.md | 五、 | p.1-1 | leaf | context=五、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_30,row=6,col=4,chunk=1"
金融機構在執行「營運衝擊分析（BIA）」後，應產出哪些關鍵的分析結果？,應產出：核心業務之 MTPD、RTO、最小可接受服務水準、RPO；各核心資通系統之 RTO 與 RPO；核心業務之復原優先順序；滿足最小可接受服務水準所需資源及其解決方案。,"金融機構在執行「營運衝擊分析（BIA）」後，應產出以下關鍵的分析結果：

1. 金融機構的核心業務哪些部分最易受到損壞或中断。
2. 標示這些核心業務中的每個部分對整體業務可能造成的影響程度和類型（例如：短期影響、長期影響）。
3. 經過衝擊後，各個核心業務部分恢復運作所需的成本與時間預估。

上述結果有助於金融機構制定應對策略以最小化營運風險。",金融機構資訊作業韌性規範_20240521.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、 || 中華民國期貨業商業同業公會「資訊作業韌性自律規範」完整條文.md | 第二條 > 四、 | p.1-1 | leaf | context=第二條 > 四、 || 中華民國證券商業同業公會資訊作業韌性自律規範.md | 第二條 > 四、 | p.1-1 | leaf | context=第二條 > 四、
針對核心資通系統供應商的營運持續計畫，金融機構應如何進行審查與風險評估？,應每年審查供應商營運持續計畫，評估其在天然災害、人為災害、資安事件、設備故障/變更、計畫性更換、產品生命週期結束等情境下，是否仍能滿足金融機構所訂 RTO/RPO。若能滿足，應保存審查紀錄；若不能滿足，應執行供應商營運中斷風險評估，並依結果採取風險處理措施或接受風險並取得核准。,根據參考資料，金融機構應每年審查核心資通系統供應商的營運持續計畫內容，并確保其滿足金融機構所訂的系統復原時間目標（RTO）和資料回復時點目標（RPO），以支持金融機構的核心業務恢復至最小可接受服務水平。如果核心資通系統供應商因與功能改進、維護、升級和現代化相關計劃性更換而造成營運持續計畫無法滿足這些目標，則需要進行核心資通系統供應商的營運中斷風險評估，并依評估結果擬訂對應風險處理措施或接受風險。如果核心資通系統供應商因產品生命周期結束且不再提供技術支援服務，或不具可用性而造成營運持續計畫無法滿足這些目標，也需要進行同樣的風險評估和風險處理過程。,金融機構資訊作業韌性規範_20240521.md | 第十條 > 三、 | p.5-5 | leaf | context=第十條 > 三、 || 金融機構資訊作業韌性規範_20240521.md | 第十條 > 一、 > (三) | p.5-5 | leaf | context=第十條 > 一、 > (三) || 金融機構資訊作業韌性規範_20240521.md | 第十條 > 一、 > (四) | p.5-5 | leaf | context=第十條 > 一、 > (四)
在「營運環境管理」方面，對於人員離調職時的權限處理有何時效性規定？,人員離調職時，應儘速移除權限。,"根據提供的參考資料，關於人員離調職時的權限處理規定如下：

在營運環境管理方面，對於人員離調職的情況下，應儘速移除其原有的存取權限。具體規定見以下兩則文件：

- [金融機構資通安全防護基準.md](https://資料來源/leaf/金融機構資通安全防護基準.md) 文件中提到，營運環境管理人員需建立註冊、異動及撤銷註冊程序，以配置適當的存取權限。離調職時應儘速移除其原有的存取權限。
  
- [保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號).md](https://資料來源/leaf/保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號).md) 文件中提到相同規定，即營運環境管理人員需建立相似的註冊、異動及撤銷註冊程序。離調職時也應儘速移除其原有的存取權限。

因此，在「營運環境管理」方面，對於人員離調職時，相關機構都明確要求應盡速移除其原有的存取權限。","金融機構資通安全防護基準.md | 第四條 > 一、 | p.1-1 | leaf | context=第四條 > 一、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 一、 | p.2-2 | leaf | context=第 4 條 > 一、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_12,row=16,col=4,chunk=1"
針對「連續假期」的資安防護，基準要求金融機構應評估並執行哪些事項？,應加強連續假期資安防護，至少包括：評估系統與電腦於連假期間是否有開機必要，無必要則關閉連線服務或電源；並評估連假後第一個營業日是否需提前到班，以確保核心資通系統及第一類電腦系統正常運作。,"金融機構在評估並執行針對「連續假期」的資安防護時，應遵循以下事項：

1. 應評估系統及電腦於連續假期開機必要性。如無需要則須關閉連線服務或電源。

2. 應評估於連續假期結束後的第一個營業日是否提前到班，以確保核心資通系統及第一類電腦系統正常運作。",金融機構資通安全防護基準.md | 第八條 > 七、 > (一) | p.4-4 | leaf | context=第八條 > 七、 > (一) || 金融機構資通安全防護基準.md | 第八條 > 七、 > (二) | p.4-4 | leaf | context=第八條 > 七、 > (二) || 金融機構資通安全防護基準.md | 第二條 > 六、 | p.1-1 | leaf | context=第二條 > 六、
銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派有何安全設計要求？,銀行應取得法人客戶書面同意指派簽署人；簽署人也可由法人客戶所指派之兩位以上授權人員以電子簽名向銀行指派，但不得出現任一授權人員與簽署人為同一人的情形。,"銀行在受理法人客戶申辦電子簽名時，對於「簽署人」的指派主要有以下安全設計要求：

1. 銀行需取得法人客戶書面同意，指定電子文件的簽署人。

2. 簽署人可以由法人客戶指派的兩位以上電子簽名授權人員以電子簽名方式向銀行指派。

3. 如果是通過電子簽名方式指派簽署人時，不得涉及任一授權人員與簽署人為同一人的情況。

4. 授權人員需由法人客戶書面同意的方式向銀行指派。

這些規定旨在確保簽署行為的合法性和安全性。",附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 二、 | p.2-2 | leaf | context=第三條 > 二、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 三、 | p.2-3 | leaf | context=第三條 > 三、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第三條 > 一、 | p.2-2 | leaf | context=第三條 > 一、
根據規範，電子簽名私鑰儲存於「客戶端」與儲存於「銀行端」在應用範圍上有何差異？,若簽名私鑰儲存於客戶端或銀行端（含第三方平台），可辦理申請指示類業務；若簽名私鑰係在客戶端產生並儲存於客戶端，則可辦理申請指示類及交易指示類業務。,"根據提供的參考資料，電子簽名私鑰儲存於「客戶端」與「銀行端」在應用範圍上有以下差異：

1. **儲存在「客戶端」**：
   - 得辦理申請指示類業務（根據第5條第1點）。
   - 得辦理申請指示類及交易指示類業務（根據第5條第2點）。

2. **儲存於「銀行端」或「銀行與第三方平臺共同」**：
   - 僅得辦理申請指示類業務。

總結來說，電子簽名私鑰儲存在客戶端的應用範圍更廣泛，包括了申請指示類及交易指示類業務。而儲存在銀行端的情況下，僅能處理申請指示類業務。",附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第五條 > 一、 | p.4-4 | leaf | context=第五條 > 一、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第五條 > 二、 | p.4-4 | leaf | context=第五條 > 二、 || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第六條 > 二、 > (三) | p.4-4 | leaf | context=第六條 > 二、 > (三)
行動應用程式（App）在偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak）時，應採取哪些限制措施？,依上傳規範，App 應在偵測到裝置疑似遭破解時，主動通知使用者或關閉應用程式；另在證券/期貨新興科技規範中，也要求至少提示使用者注意風險。,"根據參考資料，行動應用程式在偵測到行動裝置疑似遭到破解（例如 Root 或 Jailbreak）時，應該採取的措施包括：

1. 主動通知使用者保護層受到侵權的情況；
2. 關閉應用程式。

這兩項規定都來自《新興科技資通安全自律規範》。","「新興科技資通安全自律規範」完整條文-114.05.md | 12 | p.6-13 | table_chunk | table_id=「新興科技資通安全自律規範」完整條文-114.05_table_6,row=9,col=4,chunk=1 || 1110921新興科技資通安全自律規範及修正對照表.md | 12 | p.5-22 | table_chunk | table_id=1110921新興科技資通安全自律規範及修正對照表_table_13,row=3,col=4,chunk=1 || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第五條 | p.2-2 | leaf | context=第五條"
針對 App 的「金鑰保護」，規範要求應採用哪些技術（如硬體安全元件或軟體保護技術）？,"規範要求應增強 App 軟硬體防護機制以保護機敏資訊，包括：使用設備保護金鑰、保護記憶體參數與儲存檔案、防止設備被複製；並可採用如安全元件（Secure Element, SE）、**可信賴執行環境（TEE）**等安全技術。","根據提供的參考資料，針對App的「金鑰保護」規範要求應採用以下技術：

1. 晶片安全設計者，金鑰需儲存於符合國標CNS 15408 EAL5、共通準則ISO/IEC 15408 v2.3 EAL 5或FIPS 140-2 Level 3以上或其他同質的安全元件（SE）中，並能防堵市場常見攻擊。

2. 採用軟體保護技術，如白箱加密法並搭配程式碼混淆技術。",附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 一、 > (二) | p.3-3 | leaf | context=第十一條 > 一、 > (二) || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 一、 > (一) | p.3-3 | leaf | context=第十一條 > 一、 > (一) || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第十一條 > 三、 | p.3-3 | leaf | context=第十一條 > 三、
根據基準，電子銀行業務的交易指示如何區分為「高風險交易」與「低風險交易」？,依已上傳基準可直接支持的內容，電子銀行業務之交易指示係依風險等級區分為高風險與低風險交易，且首次申辦高風險交易之業務須經主管機關核准後實施；低風險交易則得在符合規定安全設計下辦理，部分情況可委由第三方驗證。,"根據參考資料，電子銀行業務的交易指示可以區分為「高風險交易」與「低風險交易」如下：

**高風險交易**：
- 係指該訊息執行結果，對客戶權益有重大影響的所有電子轉帳及交易指示。
- 包括非約定轉帳交易超過辦理低風險交易最高限額的交易指示。

**低風險交易**：
- 係指該訊息執行結果對客戶權益無重大影響的所有電子轉帳及交易指示。
- 具體內容包括照會、認識客戶、協助電子支付機構確認客戶身分等作業，以及辦理前目第二子目的申請指示。",金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > １、 | p.9-9 | leaf | context=第七條 > 一、 > (二) > １、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 > (３) | p.9-9 | leaf | context=第七條 > 一、 > (二) > ２、 > (３) || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 > (１) | p.9-9 | leaf | context=第七條 > 一、 > (二) > ２、 > (１)
針對「非約定轉帳交易」，基準對於透過網際網路辦理的低風險交易限額（每筆、每日、每月）有何規定？,透過網際網路辦理之低風險非約定轉帳交易，以每一帳戶每筆不超過等值新臺幣 5 萬元、每天累積不超過等值新臺幣 10 萬元、每月累積不超過等值新臺幣 20 萬元為限。,"根據提供的參考資料，對於通過網際網路辦理的非約定轉入帳戶轉帳交易（即非約轉交易），基準規定的限額如下：

- 每筆不超過等值新臺幣五萬元；
- 每天累計不超過等值新臺幣十萬元；
- 每月累計不超過等值新臺幣二十萬元。

這些限制適用於透過網際網路進行的低風險交易。",金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > １、 | p.13-13 | leaf | context=第八條 > 二、 > (六) > １、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > ３、 | p.13-13 | leaf | context=第八條 > 二、 > (六) > ３、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第十一條 > 二、 > (五) > １、 | p.129-129 | leaf | context=第十一條 > 二、 > (五) > １、
根據第二條，適用本規範的「資訊服務」具體包含哪三種服務形態？,包含 系統發展類、維運管理類及雲端服務類。,"根據提供的資料，適用本規範的「資訊服務」具體包含以下三種服務形態：

1. 系統發展類
2. 維運管理類
3. 雲端服務類",附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第三條 > 四、 | p.1-1 | leaf | context=第三條 > 四、 || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、 || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第二條 > 五、 | p.1-1 | leaf | context=第二條 > 五、
第四條規定，若委託開發項目涉及核心資通系統，其專案成員應有哪類專業人員參與以協助管理風險？,應有 資訊安全人員 參與。,第四條規定，若委託開發項目涉及核心資通系統或第二、三類電腦系統，且供應商在合約期間得存取銀行機敏資料，其專案成員應有資訊安全人員參與以協助管理風險。根據參考資料1和2的內容，委託開發項目如涉及上述情形，需聘請資訊安全人員來協助管理相關風險。,"附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第四條 > 二、 > (一) | p.2-2 | leaf | context=第四條 > 二、 > (一) || 附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第四條 > 二、 > (二) | p.2-2 | leaf | context=第四條 > 二、 > (二) || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_1,row=6,col=4,chunk=1"
規範中對於「平台即服務 (PaaS)」的定義為何？承租人對作業系統擁有何種程度的掌控權？,PaaS 是雲端服務業者提供作業系統使用，承租人可在該作業系統上操作自己的軟體；承租人可掌控運作軟體的環境，並擁有作業系統部分掌控權，但並不掌控作業系統本身與硬體。,"根據提供的參考資料，平台即服務(PaaS)的定義是：雲端服務業者提供作業系統使用，承租人能在這個作業系統上操作其軟體，可以控制運作軟體的環境，並擁有作業系統的部分掌控權，但并不控制作業系統和硬體。

具體來說，承租人對作業系統擁有的程度是部分掌控權。",附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 一、 > (二) | p.1-1 | leaf | context=第二條 > 一、 > (二) || 保險業辦理資訊安全防護自律規範-3.md | 貳、 > 一、 > (三) | p.1-1 | leaf | context=貳、 > 一、 > (三) || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 一、 > (三) | p.1-2 | leaf | context=第二條 > 一、 > (三)
金融機構委託雲端服務業者處理客戶資料時，若儲存地位於境外，對於當地資料保護法規有何要求？,要求 境外當地資料保護法規不得低於我國要求。,根據提供的參考資料，若金融機構委託雲端服務業者處理客戶資料時，儲存地在境外，則當地資料保護法規必須不低於中國的標準。即，境外當地資料保護法規不得低于中國的要求。,附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 > (二) | p.3-3 | leaf | context=第二條 > 十一、 > (二) || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 > (一) | p.3-3 | leaf | context=第二條 > 十一、 > (一) || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 十一、 > (三) | p.3-4 | leaf | context=第二條 > 十一、 > (三)
根據第五條，新採購的 ATM 吐鈔模組與控制主機間的通訊指令應具備什麼樣的保護與授權機制？,新採購的 ATM，其吐鈔模組與 ATM 控制主機間的通訊指令，應受保護並具有授權機制，以防止植入未經授權程式、竄改指令或竄改韌體。,根據提供的參考資料，新採購的 ATM 吐鈔模組與控制主機之間的通訊指令應具備保護和授權機制，以防止植入未經授權的程式、竄改指令或修改韌體。,"附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第五條 > 六、 | p.2-2 | leaf | context=第五條 > 六、 || 金融機構資訊系統安全基準.md | 3.8.15.46.3.8 | p.494-495 | table_chunk | table_id=金融機構資訊系統安全基準_table_998,row=2,col=1,chunk=1 || 金融機構資訊系統安全基準.md | 3.8.15.46.6.5 | p.495-496 | table_chunk | table_id=金融機構資訊系統安全基準_table_1002,row=2,col=1,chunk=1"
採用 IP 連線之 ATM，若作業系統原廠已不再提供安全更新，金融機構在汰換期間應採取哪些補強措施？,應先提出汰換計畫並提報董（理）事會或其授權經理部門核定；在未完成汰換期間，應採取補強措施，例如：採用具 Virtual Patching 功能之 WAF 或 IPS，或採網段隔離機制並限制同網段主機間連線及資源存取，且應儘速完成補強措施或汰換，以防範已知資安漏洞。,"金融機構在採用 IP 连線的 ATM 作業系統原廠不再提供安全更新的情況下，未汰換期間應採取以下補強措施：

1. 採用具 Virtual Patching 功能的 WEB 应用防火牆（WAF）或入侵防禦系統（IPS），以彌補系統安全漏洞。
2. 使用網段隔離機制並限制同網段主機之間的連線及資源存取，來降低攻擊風險。

建議盡快完成上述補強措施或換用新作業系統。",附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第八條 | p.3-3 | leaf | context=第八條 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第十條 > 一、 | p.3-3 | leaf | context=第十條 > 一、 || 附件一_金融機構提供自動櫃員機系統安全作業規範1140709.md | 第六條 > 三、 > (三) | p.2-3 | leaf | context=第六條 > 三、 > (三)
根據第六條，在處理 AI 不公正或偏見問題時，應評估哪些個人生理特徵參數是否納入演算法判斷？,應評估是否納入演算法判斷的資料參數包括：姓名、國籍、族群、出生地或居住所、年齡，以及所有生理特徵；生理特徵包含但不限於身高、體重、性別、膚色、髮量、肢體障礙等，另也包括所有非涉及心神喪失致無法自主理解該金融商品判斷能力之疾病。,在處理AI不公正或偏見問題時，根據提供的參考資料，應評估是否納入的個人生理特徵參數包括身高、體重、性別、膚色和肢體障礙等。,"附件一_金融機構運用人工智慧技術作業規範1141012.md | 第六條 | p.2-3 | leaf | context=第六條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第六條 | p.2-2 | leaf | context=第六條 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_29,row=3,col=1,chunk=1"
金融機構運用 AI 技術與消費者互動時，應如何告知消費者該服務的性質，並提供何種選擇權？,應告知該互動或服務是利用 AI 技術自動完成，或揭露其適用的人群、場合、用途；並宜由消費者自行選擇是否使用，且提醒是否有替代方案。,"根據參考資料，金融機構在運用AI技術與消費者互動時，應告知消費者以下信息並提供選擇權：

1. 通知消費者他們的互動或服務是如何使用了人工智能技術來自動完成。
2. 揭示該互動適用的人群、場合或用途。

此外，還應該為消費者提供是否使用這些AI服務的選擇權。同時提醒消費者有沒有其他替代方案可供選擇，除非法律另有規定。
  
此規範適用於證券公司和期貨商等金融機構。",附件一_金融機構運用人工智慧技術作業規範1141012.md | 第十一條 | p.4-4 | leaf | context=第十一條 || 中華民國證券商業同業公會證券商運用人工智慧技術自律規範.md | 第十一條 | p.3-3 | leaf | context=第十一條 || 建立期貨商資通安全檢查機制_所有條文.md | 第12條 > 12、 > (7) > b. | p.11-11 | leaf | context=第12條 > 12、 > (7) > b.
根據第二條，保險業經營的「行動服務」具體包含哪四項業務？,包含 行動投保服務、行動保全服務、行動理賠服務及行動房貸服務。,"根據提供的參考資料，保險業經營的「行動服務」具體包含以下四項業務：

1. 行動投保服務
2. 行動保全服務
3. 行動理賠服務
4. 行動房貸服務",保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 四、 | p.2-2 | leaf | context=第四條 > 四、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 二、 | p.2-2 | leaf | context=第四條 > 二、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第 2條 | p.1-1 | leaf | context=第 2條
業務員若因不當招攬受停止招攬處分達六個月以上，在其恢復登錄後的半年內，對其辦理行動服務有何限制？,自停止招攬處分期滿或撤銷登錄後重新登錄之日起六個月內，得暫停其辦理行動投保及涉及契約權利義務變動之行動保全等服務之權限。,"根據參考資料，如果業務員因不當招攬行為受到六個月以上停止招攬處分，在恢復登錄後的半年內，對其辦理行動服務的限制包括：

- 暫停其辦理涉及契約權利義務變動之行動保全等服務的權限。
- 具體來說，涉及契約權利義務變動之行動保全服務包括要保人住所或收費地址之變更。

因此，此期間內該業務員不得為客戶辦理與這些相關的服务。",保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 二、 | p.2-2 | leaf | context=第四條 > 二、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 六、 | p.2-2 | leaf | context=第四條 > 六、 || 保險業經營行動服務自律規範(原為「保險業經營行動投保業務自律規範」)全條文(1130805).md | 第四條 > 一、 | p.2-2 | leaf | context=第四條 > 一、
